timestamp,temperature,humidity,load_mw
2023-04-01T00:00,16.6,97,2171.17
2023-04-01T01:00,16.0,98,2059.95
2023-04-01T02:00,15.5,99,1994.83
2023-04-01T03:00,15.2,99,1967.67
2023-04-01T04:00,15.1,98,2043.05
2023-04-01T05:00,16.5,96,2276.3
2023-04-01T06:00,16.7,95,2726.5
2023-04-01T07:00,17.4,94,3059.03
2023-04-01T08:00,19.3,86,3108.97
2023-04-01T09:00,21.2,77,3263.5
2023-04-01T10:00,22.6,70,3401.07
2023-04-01T11:00,23.9,65,3361.18
2023-04-01T12:00,24.7,61,3265.25
2023-04-01T13:00,25.3,57,3003.52
2023-04-01T14:00,25.7,52,3002.27
2023-04-01T15:00,25.7,50,2983.55
2023-04-01T16:00,23.9,56,2980.54
2023-04-01T17:00,24.1,58,3118.83
2023-04-01T18:00,23.2,62,3102.62
2023-04-01T19:00,20.3,80,3058.08
2023-04-01T20:00,18.7,88,2835.67
2023-04-01T21:00,18.6,90,2585.17
2023-04-01T22:00,19.1,85,2418.93
2023-04-01T23:00,17.6,92,2273.07
2023-04-02T00:00,17.7,90,2082.51
2023-04-02T01:00,18.7,87,1962.14
2023-04-02T02:00,18.6,86,1899.99
2023-04-02T03:00,18.3,89,1880.37
2023-04-02T04:00,17.8,93,1949.56
2023-04-02T05:00,15.9,98,2103.63
2023-04-02T06:00,16.6,98,2447.22
2023-04-02T07:00,18.7,90,2780.62
2023-04-02T08:00,21.5,76,2911.38
2023-04-02T09:00,23.9,66,3131.73
2023-04-02T10:00,25.4,60,3302.86
2023-04-02T11:00,26.7,55,3321.11
2023-04-02T12:00,27.6,50,3190.15
2023-04-02T13:00,28.2,45,2932.83
2023-04-02T14:00,28.3,43,2863.77
2023-04-02T15:00,28.3,42,2800.92
2023-04-02T16:00,27.9,42,2807.78
2023-04-02T17:00,26.7,49,2882.5
2023-04-02T18:00,24.1,61,2959.12
2023-04-02T19:00,22.8,62,3064.01
2023-04-02T20:00,21.7,62,2914.27
2023-04-02T21:00,20.7,66,2714.4
2023-04-02T22:00,19.1,75,2557.9
2023-04-02T23:00,18.4,78,2406.67
2023-04-03T00:00,17.9,80,2195.53
2023-04-03T01:00,19.9,69,2081.19
2023-04-03T02:00,18.2,76,2024.41
2023-04-03T03:00,16.6,84,1994.81
2023-04-03T04:00,16.4,85,2088.3
2023-04-03T05:00,17.4,86,2374.95
2023-04-03T06:00,18.6,80,2968.38
2023-04-03T07:00,20.3,74,3207.11
2023-04-03T08:00,22.9,66,3235.36
2023-04-03T09:00,25.7,54,3433.6
2023-04-03T10:00,27.7,47,3576.98
2023-04-03T11:00,29.0,44,3549.31
2023-04-03T12:00,29.9,42,3488.73
2023-04-03T13:00,30.8,36,3196.03
2023-04-03T14:00,31.3,30,3288.89
2023-04-03T15:00,30.5,30,3316.65
2023-04-03T16:00,30.0,31,3365.86
2023-04-03T17:00,26.9,51,3332.47
2023-04-03T18:00,23.8,60,3347.73
2023-04-03T19:00,22.7,61,3390.04
2023-04-03T20:00,22.0,63,3132.8
2023-04-03T21:00,21.2,67,2851.43
2023-04-03T22:00,20.2,69,2711.05
2023-04-03T23:00,19.4,71,2555.38
2023-04-04T00:00,18.8,73,2353.21
2023-04-04T01:00,18.4,74,2216.9
2023-04-04T02:00,17.8,76,2148.54
2023-04-04T03:00,17.2,78,2117.84
2023-04-04T04:00,17.7,75,2163.51
2023-04-04T05:00,17.9,79,2314.58
2023-04-04T06:00,17.9,79,2678.35
2023-04-04T07:00,18.7,75,3047.21
2023-04-04T08:00,19.6,73,3177.85
2023-04-04T09:00,21.9,67,3361.01
2023-04-04T10:00,24.1,58,3535.11
2023-04-04T11:00,25.6,53,3530.68
2023-04-04T12:00,26.7,49,3431.2
2023-04-04T13:00,27.4,47,3142.43
2023-04-04T14:00,27.9,47,3197.33
2023-04-04T15:00,28.0,45,3214.11
2023-04-04T16:00,28.0,41,3232.92
2023-04-04T17:00,27.6,42,3315.71
2023-04-04T18:00,25.1,49,3370.33
2023-04-04T19:00,23.5,52,3430.55
2023-04-04T20:00,22.4,54,3198.69
2023-04-04T21:00,21.9,53,2931.5
2023-04-04T22:00,20.3,60,2764.42
2023-04-04T23:00,19.8,63,2623.68
2023-04-05T00:00,18.4,68,2408.02
2023-04-05T01:00,17.6,72,2274.85
2023-04-05T02:00,16.8,76,2197.52
2023-04-05T03:00,16.4,78,2163.46
2023-04-05T04:00,16.3,77,2229.61
2023-04-05T05:00,16.8,85,2537.56
2023-04-05T06:00,17.2,83,3158.69
2023-04-05T07:00,19.1,77,3333.09
2023-04-05T08:00,21.9,68,3313.01
2023-04-05T09:00,24.5,57,3496.76
2023-04-05T10:00,26.4,48,3657.51
2023-04-05T11:00,27.9,40,3642.8
2023-04-05T12:00,29.1,31,3545.58
2023-04-05T13:00,29.8,27,3278.63
2023-04-05T14:00,30.2,23,3369.5
2023-04-05T15:00,30.1,22,3402.27
2023-04-05T16:00,29.6,22,3403.87
2023-04-05T17:00,28.5,29,3475.86
2023-04-05T18:00,24.8,38,3476.91
2023-04-05T19:00,23.8,34,3512.17
2023-04-05T20:00,22.6,35,3265.72
2023-04-05T21:00,21.7,38,2988.44
2023-04-05T22:00,21.3,38,2835.58
2023-04-05T23:00,20.5,42,2684.37
2023-04-06T00:00,19.5,45,2452.9
2023-04-06T01:00,19.2,46,2317.41
2023-04-06T02:00,18.3,49,2243.75
2023-04-06T03:00,17.3,54,2202.66
2023-04-06T04:00,16.7,57,2268.36
2023-04-06T05:00,18.4,60,2561.47
2023-04-06T06:00,18.6,65,3123.09
2023-04-06T07:00,20.0,67,3301.06
2023-04-06T08:00,22.6,55,3294.03
2023-04-06T09:00,24.3,47,3453.66
2023-04-06T10:00,27.4,36,3598.5
2023-04-06T11:00,29.2,30,3604.56
2023-04-06T12:00,30.3,28,3533.06
2023-04-06T13:00,31.0,26,3273.04
2023-04-06T14:00,31.3,24,3400.93
2023-04-06T15:00,31.1,22,3441.02
2023-04-06T16:00,30.7,22,3462.08
2023-04-06T17:00,29.6,25,3541.52
2023-04-06T18:00,25.8,36,3526.02
2023-04-06T19:00,23.7,41,3538.62
2023-04-06T20:00,23.6,32,3299.08
2023-04-06T21:00,21.8,35,3018.65
2023-04-06T22:00,21.9,35,2862.18
2023-04-06T23:00,21.5,36,2719.6
2023-04-07T00:00,20.4,42,2510.02
2023-04-07T01:00,18.9,49,2380.71
2023-04-07T02:00,18.0,54,2301.68
2023-04-07T03:00,18.1,55,2271.23
2023-04-07T04:00,17.6,59,2313.01
2023-04-07T05:00,17.4,65,2489.91
2023-04-07T06:00,17.8,65,2829.65
2023-04-07T07:00,19.9,59,3102.74
2023-04-07T08:00,22.7,51,3187.76
2023-04-07T09:00,25.4,45,3465.64
2023-04-07T10:00,27.6,35,3708.57
2023-04-07T11:00,29.3,25,3741.31
2023-04-07T12:00,30.4,21,3658.28
2023-04-07T13:00,31.1,19,3311.56
2023-04-07T14:00,31.3,18,3369.07
2023-04-07T15:00,31.1,18,3377.35
2023-04-07T16:00,30.6,19,3399.4
2023-04-07T17:00,29.7,22,3462.92
2023-04-07T18:00,27.0,26,3488.18
2023-04-07T19:00,25.5,27,3524.41
2023-04-07T20:00,24.6,27,3296.35
2023-04-07T21:00,23.7,28,3028.46
2023-04-07T22:00,22.9,29,2883.66
2023-04-07T23:00,22.2,31,2749.5
2023-04-08T00:00,21.3,34,2553.8
2023-04-08T01:00,19.8,41,2414.48
