timestamp,temperature,humidity,load_mw,hour,day_of_week,month,is_weekend,is_holiday,load_lag_24h,load_lag_168h,rolling_mean_24h,rolling_mean_168h
2023-04-01 00:00:00,16.6,97,2171.17,0,5,4,1,0,,,2171.17,2171.17
2023-04-01 01:00:00,16.0,98,2059.95,1,5,4,1,0,,,2115.56,2115.56
2023-04-01 02:00:00,15.5,99,1994.83,2,5,4,1,0,,,2075.3166666666666,2075.3166666666666
2023-04-01 03:00:00,15.2,99,1967.67,3,5,4,1,0,,,2048.4049999999997,2048.4049999999997
2023-04-01 04:00:00,15.1,98,2043.05,4,5,4,1,0,,,2047.334,2047.334
2023-04-01 05:00:00,16.5,96,2276.3,5,5,4,1,0,,,2085.4950000000003,2085.4950000000003
2023-04-01 06:00:00,16.7,95,2726.5,6,5,4,1,0,,,2177.067142857143,2177.067142857143
2023-04-01 07:00:00,17.4,94,3059.03,7,5,4,1,0,,,2287.3125,2287.3125
2023-04-01 08:00:00,19.3,86,3108.97,8,5,4,1,0,,,2378.6077777777778,2378.6077777777778
2023-04-01 09:00:00,21.2,77,3263.5,9,5,4,1,0,,,2467.097,2467.097
2023-04-01 10:00:00,22.6,70,3401.07,10,5,4,1,0,,,2552.0036363636364,2552.0036363636364
2023-04-01 11:00:00,23.9,65,3361.18,11,5,4,1,0,,,2619.435,2619.435
2023-04-01 12:00:00,24.7,61,3265.25,12,5,4,1,0,,,2669.113076923077,2669.113076923077
2023-04-01 13:00:00,25.3,57,3003.52,13,5,4,1,0,,,2692.9992857142856,2692.9992857142856
2023-04-01 14:00:00,25.7,52,3002.27,14,5,4,1,0,,,2713.6173333333336,2713.6173333333336
2023-04-01 15:00:00,25.7,50,2983.55,15,5,4,1,0,,,2730.488125,2730.488125
2023-04-01 16:00:00,23.9,56,2980.54,16,5,4,1,0,,,2745.1970588235295,2745.1970588235295
2023-04-01 17:00:00,24.1,58,3118.83,17,5,4,1,0,,,2765.9544444444446,2765.9544444444446
2023-04-01 18:00:00,23.2,62,3102.62,18,5,4,1,0,,,2783.6736842105265,2783.6736842105265
2023-04-01 19:00:00,20.3,80,3058.08,19,5,4,1,0,,,2797.394,2797.394
2023-04-01 20:00:00,18.7,88,2835.67,20,5,4,1,0,,,2799.2166666666667,2799.2166666666667
2023-04-01 21:00:00,18.6,90,2585.17,21,5,4,1,0,,,2789.4872727272727,2789.4872727272727
2023-04-01 22:00:00,19.1,85,2418.93,22,5,4,1,0,,,2773.3760869565217,2773.3760869565217
2023-04-01 23:00:00,17.6,92,2273.07,23,5,4,1,0,,,2752.53,2752.53
2023-04-02 00:00:00,17.7,90,2082.51,0,6,4,1,0,2171.17,,2748.835833333333,2725.7291999999998
2023-04-02 01:00:00,18.7,87,1962.14,1,6,4,1,0,2059.95,,2744.7604166666665,2696.3603846153846
2023-04-02 02:00:00,18.6,86,1899.99,2,6,4,1,0,1994.83,,2740.80875,2666.865185185185
2023-04-02 03:00:00,18.3,89,1880.37,3,6,4,1,0,1967.67,,2737.17125,2638.7760714285714
2023-04-02 04:00:00,17.8,93,1949.56,4,6,4,1,0,2043.05,,2733.275833333333,2615.0099999999998
2023-04-02 05:00:00,15.9,98,2103.63,5,6,4,1,0,2276.3,,2726.0812499999997,2597.964
2023-04-02 06:00:00,16.6,98,2447.22,6,6,4,1,0,2726.5,,2714.4445833333334,2593.1012903225806
2023-04-02 07:00:00,18.7,90,2780.62,7,6,4,1,0,3059.03,,2702.8441666666668,2598.96125
2023-04-02 08:00:00,21.5,76,2911.38,8,6,4,1,0,3108.97,,2694.61125,2608.428484848485
2023-04-02 09:00:00,23.9,66,3131.73,9,6,4,1,0,3263.5,,2689.1208333333334,2623.819705882353
2023-04-02 10:00:00,25.4,60,3302.86,10,6,4,1,0,3401.07,,2685.02875,2643.220857142857
2023-04-02 11:00:00,26.7,55,3321.11,11,6,4,1,0,3361.18,,2683.3591666666666,2662.051111111111
2023-04-02 12:00:00,27.6,50,3190.15,12,6,4,1,0,3265.25,,2680.23,2676.324054054054
2023-04-02 13:00:00,28.2,45,2932.83,13,6,4,1,0,3003.52,,2677.2845833333336,2683.074210526316
2023-04-02 14:00:00,28.3,43,2863.77,14,6,4,1,0,3002.27,,2671.51375,2687.707435897436
2023-04-02 15:00:00,28.3,42,2800.92,15,6,4,1,0,2983.55,,2663.9041666666667,2690.53775
2023-04-02 16:00:00,27.9,42,2807.78,16,6,4,1,0,2980.54,,2656.7058333333334,2693.397317073171
2023-04-02 17:00:00,26.7,49,2882.5,17,6,4,1,0,3118.83,,2646.85875,2697.8997619047623
2023-04-02 18:00:00,24.1,61,2959.12,18,6,4,1,0,3102.62,,2640.8795833333334,2703.974651162791
2023-04-02 19:00:00,22.8,62,3064.01,19,6,4,1,0,3058.08,,2641.1266666666666,2712.157272727273
2023-04-02 20:00:00,21.7,62,2914.27,20,6,4,1,0,2835.67,,2644.4016666666666,2716.648666666667
2023-04-02 21:00:00,20.7,66,2714.4,21,6,4,1,0,2585.17,,2649.78625,2716.5997826086955
